"row","city","country","buildings","highrises","population","url","page_num","timestamp"
1,"Bamiyan","Afghanistan","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
2,"Kabul","Afghanistan","5","5","3,199,091","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
3,"Durres","Albania","no data","no data","99,546","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
4,"Elbasan","Albania","no data","no data","87,797","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
5,"Fier","Albania","no data","no data","56,297","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
6,"FierzÃ«, PukÃ«","Albania","no data","no data","2,750","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
7,"Katund i Ri","Albania","no data","no data","15,665","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
8,"KorÃ§Ã«","Albania","no data","no data","55,130","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
9,"KukÃ«s","Albania","no data","no data","47,985","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
10,"Shijak","Albania","no data","no data","14,118","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
11,"Shkoder","Albania","no data","no data","82,455","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
12,"Tirana","Albania","14","10","343,078","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
13,"Vlore","Albania","no data","no data","77,691","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
14,"Algiers","Algeria","33","32","3,335,418","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
15,"Constantine","Algeria","1","1","465,078","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
16,"F'kirina","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
17,"KÃ©nadsa","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
18,"Oran","Algeria","12","12","680,947","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
19,"Reggane","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
20,"Sidi Hamadouche","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
21,"Tipaza","Algeria","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
22,"Andorra la Vella","Andorra","1","1","21,189","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
23,"El Serrat","Andorra","no data","no data","80","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
24,"Encamp","Andorra","no data","no data","12,924","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
25,"Soldeu","Andorra","no data","no data","698","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
26,"Baia dos Tigres","Angola","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
27,"Benguela","Angola","4","1","151,235","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
28,"Dundo","Angola","4","4","45,136","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
29,"Huambo","Angola","4","3","226,177","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
30,"Lobito","Angola","2","1","163,774","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
31,"Luanda","Angola","88","84","2,776,125","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
32,"Lubango","Angola","2","1","102,541","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
33,"Malanje","Angola","no data","no data","87,047","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
34,"Porto Amboim","Angola","no data","no data","65,000","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
35,"Soyo","Angola","2","2","85,856","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
36,"Amundsen-Scott South Pole Station","Antarctica","no data","no data","200","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
37,"Allen","Argentina","no data","no data","22,859","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
38,"Avellaneda (Buenos Aires)","Argentina","8","8","24,313","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
39,"Bahia Blanca","Argentina","12","10","284,776","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
40,"Banfield","Argentina","23","23","223,898","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
41,"Bell Ville","Argentina","7","7","34,439","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
42,"Bella Vista","Argentina","no data","no data","67,936","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
43,"Berazategui","Argentina","10","10","167,498","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
44,"Bernal (Buenos Aires)","Argentina","17","17","109,914","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
45,"Billinghurst","Argentina","no data","no data","19,138","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
46,"Boulougne Sur Mer","Argentina","no data","no data","73,496","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
47,"Brinkmann","Argentina","no data","no data","9,890","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
48,"Buenos Aires","Argentina","501","471","2,776,138","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
49,"Canning","Argentina","no data","no data","14,323","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
50,"Caseros (Buenos Aires)","Argentina","48","48","95,785","http://skyscraperpage.com/cities/?s=0&c=2&p=0&r=50&10=0",1,2018-12-05 21:49:10
51,"Cinco Saltos","Argentina","no data","no data","22,790","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
52,"Cipolletti","Argentina","10","10","77,713","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
53,"Ciudadela","Argentina","13","13","73,155","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
54,"Claypole","Argentina","no data","no data","41,176","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
55,"ColÃ³n","Argentina","no data","no data","24,835","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
56,"Comodoro Rivadavia","Argentina","12","12","174,500","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
57,"ConcepciÃ³n del Uruguay","Argentina","no data","no data","73,729","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
58,"Concordia","Argentina","no data","no data","152,282","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
59,"Cordoba","Argentina","63","61","1,272,334","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
60,"Coronel Pringles","Argentina","1","no data","20,263","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
61,"Corrientes","Argentina","2","2","346,334","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
62,"Dock Sud","Argentina","no data","no data","35,897","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
63,"Dolavon","Argentina","no data","no data","3,307","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
64,"Don Bosco (Buenos Aires)","Argentina","1","1","20,876","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
65,"El Palomar (Buenos Aires)","Argentina","7","7","57,146","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
66,"Esquel","Argentina","no data","no data","32,343","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
67,"Ezpeleta (Buenos Aires)","Argentina","5","5","79,557","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
68,"Florencio Varela (Buenos Aires)","Argentina","11","10","120,678","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
69,"Formosa","Argentina","no data","no data","222,226","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
70,"Gaiman","Argentina","no data","no data","4,730","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
71,"Gerli","Argentina","no data","no data","64,340","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
72,"Glew","Argentina","no data","no data","57,878","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
73,"Gualeguay","Argentina","no data","no data","43,009","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
74,"GualeguaychÃº","Argentina","no data","no data","83,116","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
75,"GuaymallÃ©n (Mendoza)","Argentina","1","1","252,618","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
76,"Hasenkamp","Argentina","no data","no data","4,925","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
77,"Hudson","Argentina","no data","no data","43,769","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
78,"Hurlingham","Argentina","no data","no data","60,165","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
79,"Itati","Argentina","1","no data","7,902","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
80,"James Craik","Argentina","no data","no data","5,110","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
81,"JunÃ­n","Argentina","no data","no data","87,509","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
82,"La Plata","Argentina","40","34","574,369","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
83,"La Rioja","Argentina","no data","no data","178,872","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
84,"Laboulaye","Argentina","1","1","20,534","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
85,"LanÃºs","Argentina","25","25","212,152","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
86,"Las Heras (Mendoza)","Argentina","no data","no data","189,067","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
87,"Lomas de Zamora (Buenos Aires)","Argentina","9","9","111,897","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
88,"Lujan","Argentina","1","no data","93,992","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
89,"LujÃ¡n de Cuyo (Mendoza)","Argentina","no data","no data","82,615","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
90,"MaipÃº (Mendoza)","Argentina","no data","no data","106,662","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
91,"Mar del Plata","Argentina","47","41","532,845","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
92,"MartÃ­n Coronado (Buenos Aires)","Argentina","7","6","17,090","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
93,"Mendoza City","Argentina","10","10","114,893","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
94,"Merlo","Argentina","no data","no data","244,168","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
95,"Miramar","Argentina","12","12","34,391","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
96,"Monte Grande","Argentina","no data","no data","207,843","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
97,"Moreno","Argentina","no data","no data","149,317","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
98,"Moron (Buenos Aires)","Argentina","1","1","122,642","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
99,"Muniz","Argentina","8","8","42,529","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
100,"Necochea","Argentina","2","2","89,096","http://skyscraperpage.com/cities/?s=0&c=2&p=1&r=50&10=0",2,2018-12-05 21:49:11
101,"NeuquÃ©n","Argentina","9","9","231,780","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
102,"OberÃ¡","Argentina","1","1","66,112","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
103,"OlavarrÃ­a","Argentina","1","1","89,721","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
104,"Pablo PodestÃ¡ (Buenos Aires)","Argentina","no data","no data","12,852","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
105,"Parana","Argentina","6","6","237,968","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
106,"Pergamino","Argentina","no data","no data","91,399","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
107,"Pilar (Buenos Aires)","Argentina","1","1","299,077","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
108,"Pinamar","Argentina","no data","no data","9,810","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
109,"PiÃ±eyro","Argentina","no data","no data","26,979","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
110,"Plottier","Argentina","no data","no data","32,391","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
111,"Posadas","Argentina","12","12","275,028","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
112,"Puerto Madryn","Argentina","16","16","57,791","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
113,"QuemÃº QuemÃº","Argentina","1","no data","3,714","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
114,"Quilmes (Buenos Aires)","Argentina","206","203","230,810","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
115,"Rafaela","Argentina","1","1","83,563","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
116,"Ramos Mejia (Buenos Aires)","Argentina","10","10","98,457","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
117,"Ranelagh","Argentina","no data","no data","15,262","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
118,"Rawson","Argentina","2","2","31,787","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
119,"Resistencia","Argentina","19","19","275,962","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
120,"Rio Cuarto","Argentina","8","8","144,021","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
121,"Rio Gallegos","Argentina","no data","no data","95,796","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
122,"Rosario","Argentina","134","125","909,397","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
123,"Saenz Pena","Argentina","15","15","11,542","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
124,"Salta City","Argentina","12","11","464,678","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
125,"San Bernardo del TuyÃº","Argentina","3","3","8,133","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
126,"San Carlos de Bariloche","Argentina","1","no data","93,101","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
127,"San Fernando del Valle de Catamarca","Argentina","no data","no data","159,139","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
128,"San Francisco","Argentina","1","1","62,211","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
129,"San Isidro (Buenos Aires)","Argentina","4","3","45,190","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
130,"San Juan","Argentina","no data","no data","112,778","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
131,"San Justo","Argentina","no data","no data","105,274","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
132,"San Luis","Argentina","1","no data","169,947","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
133,"San MartÃ­n","Argentina","no data","no data","79,476","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
134,"San Martin","Argentina","4","4","28,399","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
135,"San MartÃ­n de los Andes","Argentina","no data","no data","27,956","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
136,"San Miguel (Buenos Aires)","Argentina","2","2","157,532","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
137,"San Miguel de Tucuman","Argentina","24","24","527,607","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
138,"San Rafael","Argentina","no data","no data","118,009","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
139,"San Salvador de Jujuy","Argentina","2","2","233,754","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
140,"Santa Fe","Argentina","32","31","369,589","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
141,"Santa Rosa","Argentina","no data","no data","109,879","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
142,"Santiago del Estero","Argentina","4","4","230,614","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
143,"Santos Lugares (Buenos Aires)","Argentina","4","3","37,267","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
144,"SarandÃ­","Argentina","6","6","60,752","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
145,"Spatzenkutter","Argentina","no data","no data","541","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
146,"Telsen","Argentina","no data","no data","544","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
147,"Temperley","Argentina","9","9","121,451","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
148,"Tigre (Buenos Aires)","Argentina","3","3","31,106","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
149,"Tornquist","Argentina","1","no data","6,473","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
150,"Trelew","Argentina","12","12","89,547","http://skyscraperpage.com/cities/?s=0&c=2&p=2&r=50&10=0",3,2018-12-05 21:49:12
151,"Trevelin","Argentina","no data","no data","7,908","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
152,"Troncos del Talar (Buenos Aires)","Argentina","no data","no data","56,567","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
153,"Vicente Lopez (Buenos Aires)","Argentina","19","19","24,078","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
154,"Victoria","Argentina","no data","no data","31,842","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
155,"Viedma","Argentina","no data","no data","52,789","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
156,"Villa Ballester","Argentina","no data","no data","35,301","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
157,"Villa Bosch","Argentina","1","1","24,702","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
158,"Villa Carlos Paz","Argentina","no data","no data","62,750","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
159,"Villa DomÃ­nico","Argentina","no data","no data","58,824","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
160,"Villa Gesell","Argentina","13","13","24,282","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
161,"Villa Maipu","Argentina","no data","no data","24,447","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
162,"Villa Parque Santa Ana","Argentina","1","no data","2,503","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
163,"Villaguay","Argentina","no data","no data","49,445","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
164,"Wilde","Argentina","37","37","65,881","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
165,"William C. Morris","Argentina","no data","no data","48,916","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
166,"Jrarat","Armenia","no data","no data","461","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
167,"Noratus","Armenia","no data","no data","5,893","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
168,"Vagharshapat","Armenia","1","no data","46,450","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
169,"Yerevan","Armenia","3","3","1,088,300","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
170,"Adelaide","Australia","83","78","1,324,279","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
171,"Albury","Australia","no data","no data","47,694","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
172,"Bald Hills","Australia","no data","no data","5,965","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
173,"Ballarat","Australia","no data","no data","85,109","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
174,"Banana","Australia","no data","no data","14,596","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
175,"Bathurst","Australia","no data","no data","41,682","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
176,"Bendigo","Australia","no data","no data","81,657","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
177,"Brandon","Australia","no data","no data","783","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
178,"Brisbane","Australia","207","202","2,360,241","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
179,"Bunbury","Australia","1","1","32,499","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
180,"Bundaberg","Australia","no data","no data","52,472","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
181,"Cairns","Australia","12","12","150,041","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
182,"Canberra","Australia","46","36","403,468","http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
183,"Cape Portland","Australia","no data","no data",,"http://skyscraperpage.com/cities/?s=0&c=2&p=3&r=50&10=0",4,2018-12-05 21:49:13
